10
10
STANDARD STANDARD ARMOR STANDARD ENEMY STANDARD STANDARD STANDARD DMG STANDARD 
STANDARD STANDARD HP ENEMY STANDARD STANDARD STANDARD STANDARD HP STANDARD 
STANDARD ENEMY STANDARD DMG STANDARD HP ENEMY ENEMY STANDARD STANDARD 
HP STANDARD STANDARD STANDARD STANDARD STANDARD STANDARD BLOCK STANDARD STANDARD 
DMG BLOCK HP STANDARD BLOCK DMG STANDARD HP STANDARD STANDARD 
HP STANDARD DMG BLOCK HP STANDARD ENEMY STANDARD BLOCK STANDARD 
STANDARD BLOCK STANDARD STANDARD STANDARD STANDARD DMG STANDARD STANDARD BLOCK 
HP STANDARD DMG STANDARD ARMOR HP STANDARD DMG ARMOR STANDARD 
STANDARD HP STANDARD STANDARD HP DMG STANDARD ARMOR HP BLOCK 
STANDARD BLOCK ENEMY ARMOR STANDARD STANDARD STANDARD STANDARD STANDARD END 
#48723
